Cluster ID	Cluster name	Supercluster	Class auto-annotation	Neurotransmitter auto-annotation	Neuropeptide auto-annotation	Subtype auto-annotation	Transferred MTG Label	Top three regions	Top three dissections	Top Enriched Genes	Number of cells	DoubletFinder score	Total UMI	Fraction unspliced	Fraction mitochondrial	H19.30.002	H19.30.001	H18.30.002	H18.30.001	Fraction cells from top donor	Number of donors
10	Mgl_10	Microglia	MGL		IGF		Micro-PVM	Basal forebrain: 27.7%, Midbrain: 22.1%, Cerebral cortex: 10.3%	Human GPi: 17.4%, Human SN: 9.3%, Human GPe: 7.9%	LNCAROD, APBB1IP, CX3CR1, FYB1, CSF1R, CD74, DOCK8, C3, SYK, PTPRC	16707	0.013984997	2907.781648	0.717180156	0.003400028	4246	4735	7721	5	0.462141617	4
11	Mgl_11	Microglia	MGL		IGF		Micro-PVM	Cerebral cortex: 37.4%, Hippocampus: 24.2%, Thalamus: 11.1%	Human DGR-CA4Rpy: 6.3%, Human MTG: 5.7%, Human DGU-CA4Upy: 5.7%	CSF1R, CX3CR1, APBB1IP, FYB1, AL392172.1, LINC00996, LNCAROD, SYK, DOCK8, C3	20036	0.007858125	3079.128818	0.723613167	0.005591141	6410	4771	8837	18	0.441056099	4
12	Mgl_12	Microglia	MAC		IGF		Micro-PVM	Basal forebrain: 29.4%, Cerebral cortex: 14.0%, Cerebellum: 12.2%	Human GPi: 11.5%, Human CbDN: 9.7%, Human SEP: 9.2%	MRC1, CD163, STAB1, MS4A6A, MS4A4A, F13A1, SIGLEC1, MS4A4E, FCGR2C, LILRB5	3344	0.023225077	3016.474282	0.716177599	0.005295321	1039	854	1449	2	0.433313397	4
13	VendPLVAP_13	Vascular	CHRP ENDO		NAMPT NUCB		N/A	Basal forebrain: 74.0%, Medulla: 23.3%, Hippocampus: 1.4%	Human SEP: 74.0%, Human MoSR: 11.0%, Human MoAN: 8.2%	FLT1, VWF, PLVAP, KDR, CFH, SERPINH1, CLEC1A, PKHD1L1, ANO2, TGM2	73	0.030808056	4872.986301	0.668800512	0.008521957	8	11	54	0	0.739726027	3
14	VendAC_14	Vascular	ENDO		EDN NAMPT	ARTERIOLE CAP	Endo	Hippocampus: 23.8%, Cerebral cortex: 23.3%, Thalamus: 10.3%	Human A35r: 14.0%, Human CA1: 8.7%, Human CBV: 5.5%	CLDN5, FLT1, ABCG2, MECOM, CD34, SMAD6, SOX18, EPAS1, SEMA3G, HLA-E	748	0.019628259	3133.082888	0.624385319	0.007243941	153	104	485	6	0.648395722	4
15	VendC_15	Vascular	ENDO		EDN NAMPT NUCB	CAP	Endo	Cerebral cortex: 23.2%, Hippocampus: 15.7%, Thalamus: 15.3%	Human A35r: 8.6%, Human CBV: 6.6%, Human CA1: 4.8%	CLDN5, ABCG2, FLT1, MECOM, IFI27, TM4SF18, HLA-E, CAVIN2, FLI1, SLC38A5	2746	0.024124427	3281.848871	0.600418074	0.007209329	710	505	1522	9	0.554260743	4
16	VendVC_16	Vascular	ENDO		NAMPT NUCB	CAP	Endo	Cerebral cortex: 25.5%, Hippocampus: 17.8%, Midbrain: 8.4%	Human A35r: 14.8%, Human CA1: 5.6%, Human SpC: 4.1%	CLDN5, MECOM, VWF, FLT1, ABCG2, FLI1, NOSTRIN, LINC02147, TGM2, CFH	1046	0.026046707	4283.276291	0.684555871	0.004548541	191	199	648	8	0.619502868	4
17	VendV_17	Vascular	ENDO		EDN NAMPT NUCB UBL	VENOUS	Endo	Hypothalamus: 26.7%, Medulla: 21.8%, Pons: 15.8%	Human MN: 13.9%, Human IO: 9.9%, Human HTHso: 8.9%	IL1R1, VCAM1, CLDN5, VWF, CLEC2B, ICAM1, SERPINE1, ZFP36, PLA1A, MECOM	101	0.029247301	5335.990099	0.636428709	0.004547217	22	33	46	0	0.455445545	3
18	VendA_18	Vascular	ENDO		NAMPT NUCB	ARTERIOLE ARTERY	N/A	Cerebral cortex: 23.3%, Medulla: 16.4%, Thalamus: 14.6%	Human A35r: 10.4%, Human IO: 7.3%, Human MN: 6.9%	MECOM, CLDN5, MGP, FLT1, HLA-E, TM4SF1, SMAD6, EPAS1, KLF2, CXCL2	451	0.023919414	3259.514412	0.592016006	0.010042449	113	131	207	0	0.458980044	3
19	Vsmc_19	Vascular	ENDO VSMC		IGF NAMPT NUCB UBL	FIBMYO	N/A	Thalamus: 28.4%, Midbrain: 12.2%, Medulla: 11.8%	Human ANC: 7.4%, Human SN-RN: 5.7%, Human Pul: 5.7%	MYL9, CARMN, CCL19, IFITM2, FHL5, ADIRF, CLDN5, IFITM3, NOTCH3, CFH	229	0.030009837	2780.292576	0.550435024	0.017040154	52	63	111	3	0.484716157	4
20	Vsmc_20	Vascular	VSMC		AGT NAMPT UBL		N/A	Thalamus: 21.8%, Cerebral cortex: 13.7%, Medulla: 12.4%	Human MN: 10.5%, Human IO: 7.0%, Human Pul: 4.0%	MYL9, CARMN, ADIRF, FHL5, ACTA2, VIM, TBX18, MUSTN1, TBX2, NOTCH3	845	0.034817885	3029.688757	0.55909446	0.015250756	172	280	391	2	0.462721893	4
21	Per_21	Vascular	PER		AGT IGF UBL		VLMC	Thalamus: 28.3%, Pons: 17.9%, Basal forebrain: 9.8%	Human LG: 8.0%, Human Pul: 7.0%, Human PnEN: 6.7%	IFITM2, CARMN, MUSTN1, NOTCH3, GGT5, IFITM3, SLC6A12, MYL9, BGN, ITIH5	1753	0.036719091	2761.257273	0.517748738	0.013197038	582	356	813	2	0.463776383	4
22	Per_22	Vascular	PER		IGF		VLMC	Thalamus: 34.2%, Cerebral cortex: 15.9%, Basal forebrain: 10.2%	Human CBV: 6.7%, Human CM: 5.4%, Human LP: 5.3%	CARMN, NOTCH3, SLC6A12, ITIH5, GGT5, SLC12A7, IFITM2, LINC02147, CYSLTR2, BGN	1856	0.029533909	3559.655711	0.607943216	0.01293205	634	345	868	9	0.467672414	4
23	Per_23	Vascular			IGF		VLMC	Thalamus: 48.8%, Cerebral cortex: 25.0%, Basal forebrain: 10.7%	Human Pul: 31.0%, Human STG: 7.1%, Human LP: 6.0%	ITIH5, SLC6A12, SLC6A13, ATP1A2, DCN, PRELP, COLEC12, IFITM2, MUSTN1, TFPI	84	0.014988394	2054.154762	0.564226216	0.015552875	43	14	27	0	0.511904762	3
24	Fbl_24	Fibroblast	FIB		IGF NAMPT	PIA PVF	N/A	Basal forebrain: 38.0%, Medulla: 32.3%, Hippocampus: 25.1%	Human SEP: 38.0%, Human MoAN: 17.6%, Human CA1R-CA2R-CA3R: 16.8%	C7, CFH, IGF2, COL1A2, LINC02126, MGP, COL3A1, TBX18, FBLN1, TTR	279	0.034615305	3663.659498	0.621318333	0.010746794	42	128	109	0	0.458781362	3
25	Fbl_25	Fibroblast	FIB		EDN IGF	PIA	VLMC	Thalamus: 22.3%, Cerebral cortex: 20.0%, Pons: 15.0%	Human MN: 8.3%, Human A35r: 8.2%, Human CM-Pf: 6.6%	COL1A2, TBX18, CFH, IGF2, COL3A1, ITIH5, FLVCR2, FMO2, LINC02147, BMP5	709	0.034415482	4192.19464	0.689267884	0.008552175	171	185	348	5	0.490832158	4
26	Fbl_26	Fibroblast	FIB		EDN IGF	PIA	VLMC	Thalamus: 20.7%, Basal forebrain: 15.4%, Pons: 13.1%	Human SEP: 6.0%, Human CBV: 5.7%, Human SN: 4.6%	COL1A2, TBX18, FMO2, IGF2, ITIH5, C7, FBLN1, FLVCR2, SLC6A20, COL15A1	1340	0.035093778	3624.874627	0.684470752	0.009661993	348	364	627	1	0.467910448	4
27	Fbl_27	Fibroblast	FIB		EDN IGF	PIA	VLMC	Thalamus: 34.3%, Cerebral cortex: 15.0%, Pons: 13.3%	Human CM-Pf: 8.7%, Human LG: 4.4%, Human VLN: 4.3%	TBX18, COL1A2, FMO2, ITIH5, LINC02147, COL15A1, FLVCR2, COLEC12, C7, LINC02058	2056	0.026503053	4152.054961	0.718434293	0.008202063	545	513	995	3	0.483949416	4
28	Fbl_28	Fibroblast	FIB		EDN IGF	PIA	VLMC	Thalamus: 36.4%, Cerebral cortex: 12.1%, Pons: 11.0%	Human LG: 7.9%, Human Pul: 6.0%, Human LP: 4.6%	COL1A2, TBX18, C7, ITIH5, IGF2, FMO2, ISLR, LINC02147, FBLN1, DCN	3767	0.033419676	3027.037961	0.591507661	0.008756879	1067	1140	1551	9	0.411733475	4
29	Fbl_29	Fibroblast			IGF NAMPT		N/A	Medulla: 41.3%, Spinal cord: 39.7%, Thalamus: 4.8%	Human SpC: 39.7%, Human IO: 25.4%, Human MoRF-MoEN: 7.9%	IGFBP6, VIM, BNC2, FLVCR2, IGF2, COL1A2, CFH, EBF2, CD177, KLF2	63	0.0183312	2819.793651	0.621917883	0.006285188	8	14	41	0	0.650793651	3
30	Fbl_30	Fibroblast	CHRP		IGF	ARACH	N/A	Cerebral cortex: 35.3%, Basal forebrain: 29.7%, Medulla: 10.6%	Human SEP: 29.0%, Human A35r: 21.2%, Human MN: 6.4%	CFH, SLC6A20, COL1A2, KDR, VIM, SLC5A5, COL3A1, SLC6A13, SLC16A12, SLC6A12	283	0.018868697	4424.003534	0.741249938	0.007789401	28	78	177	0	0.625441696	3
31	Fbl_31	Fibroblast	CHRP		IGF NAMPT NUCB	ABC PIA	N/A	Basal forebrain: 47.3%, Medulla: 20.3%, Hypothalamus: 12.4%	Human SEP: 47.2%, Human MN: 11.8%, Human MoAN: 8.8%	PTGDR, BNC2, BMP5, FOXC1, COL3A1, COL1A2, SLPI, SFRP2, SPTLC3, TBX15	659	0.022172741	5195.570561	0.678051805	0.008754696	77	211	371	0	0.562974203	3
32	OPC_32	Oligodendrocyte precursor	OPC		NUCB NXPH SCG proSAAS		OPC	Hypothalamus: 54.7%, Thalamus: 16.6%, Amygdala: 8.5%	Human MN: 54.6%, Human CM-Pf: 12.1%, Human CEN: 8.3%	MROH9, VCAN-AS1, FMO6P, FMO3, BX284613.2, AL512308.1, LHFPL3-AS1, Z94057.1, AC004852.2, LINC00402	929	0.027782191	13125.18084	0.823972613	0.001356298	257	464	207	1	0.499461787	4
33	OPC_33	Oligodendrocyte precursor	OPC		NXPH proSAAS		OPC	Pons: 23.8%, Midbrain: 22.9%, Thalamus: 19.2%	Human PnRF: 8.4%, Human CBV: 7.8%, Human SN-RN: 7.8%	BX284613.2, MROH9, FMO6P, PDGFRA, VCAN, FERMT1, AL512308.1, OLIG2, AC004852.2, COL9A1	48139	0.023691145	5625.469661	0.727416831	0.002842239	10915	13964	23209	51	0.482124681	4
34	OPC_34	Oligodendrocyte precursor	OPC		NXPH proSAAS		OPC	Hippocampus: 33.6%, Cerebral cortex: 30.9%, Amygdala: 16.5%	Human CA1: 11.7%, Human CEN: 8.5%, Human A35r: 6.4%	AC004852.2, AL512308.1, PDGFRA, BX284613.2, GPR17, VCAN, CSPG4, AC117464.1, OLIG2, FERMT1	31058	0.014959875	8316.656417	0.775092136	0.002870854	5662	4705	20601	90	0.66330736	4
35	OPC_35	Oligodendrocyte precursor	OPC		NXPH proSAAS		OPC	Cerebral cortex: 62.3%, Hippocampus: 21.4%, Basal forebrain: 6.5%	Human A35r: 17.0%, Human Sub: 9.1%, Human MTG: 8.0%	AC004852.2, PDGFRA, GPNMB, GPR17, AL512308.1, OLIG2, COL20A1, CSPG4, OLIG1, AC117464.1	23965	0.009614567	6078.396078	0.756767334	0.002986645	4317	3110	16477	61	0.687544335	4
36	OPC_36	Oligodendrocyte precursor	OPC		NXPH proSAAS		OPC	Cerebral cortex: 33.7%, Thalamus: 12.5%, Midbrain: 11.5%	Human A35r: 20.8%, Human SpC: 8.0%, Human SN: 5.4%	AC004852.2, BX284613.2, PDGFRA, AL512308.1, VCAN, OLIG2, OLIG1, GPR17, CSPG4, FERMT1	1643	0.133045254	7523.032867	0.727895082	0.004117665	278	388	960	17	0.584297018	4
37	COP_37	Committed oligodendrocyte precursor	OLIGO		NXPH proSAAS	COP	OPC	Cerebral cortex: 35.6%, Hippocampus: 19.5%, Amygdala: 8.2%	Human A35r: 6.3%, Human CA1: 4.8%, Human MTG: 4.5%	GPR17, AL512308.1, TNS3, BCAS1, MIR503HG, AC008080.4, NKX2-2, GPNMB, INAVA, FIBIN	796	0.036323128	7398.628141	0.744992292	0.003369973	330	150	316	0	0.414572864	3
38	COP_38	Committed oligodendrocyte precursor	OLIGO		NXPH proSAAS	COP	OPC	Hippocampus: 29.9%, Cerebral cortex: 29.5%, Pons: 7.8%	Human CA1: 8.9%, Human A35r: 6.5%, Human PnEN: 5.6%	GPR17, AC008080.4, FRG2DP, AL512308.1, MDFI, LINC01447, TNS3, BCAS1, ADAM33, MIR503HG	779	0.047351314	8149.983312	0.694729319	0.005274122	275	132	371	1	0.476251605	4
39	COP_39	Committed oligodendrocyte precursor	OLIGO			COP	N/A	Cerebral cortex: 28.1%, Hippocampus: 19.7%, Amygdala: 14.6%	Human CA1: 7.3%, Human A35r: 5.6%, Human Pir: 3.9%	AC008080.4, GPR17, AC020909.2, APCDD1, ACAN, DCT, AC022433.1, KANK2, FRG2DP, DOCK6	178	0.035651772	8825.292135	0.68816144	0.005952303	34	17	127	0	0.713483146	3
40	Oligo_40	Oligodendrocyte	OLIGO				Oligo	Hippocampus: 24.8%, Cerebral cortex: 23.4%, Amygdala: 10.0%	Human CA4C-DGC: 4.7%, Human DGR-CA4Rpy: 4.6%, Human CA1: 4.3%	OPALIN, CD9, AC020909.2, MAL, LINC00639, AC110285.1, PLLP, LINC01170, MAG, SLCO1A2	4913	0.014927828	4145.45919	0.681149571	0.003058072	1373	1161	2363	16	0.480968858	4
41	COP_41	Committed oligodendrocyte precursor	OLIGO				N/A	Amygdala: 24.7%, Hypothalamus: 23.3%, Basal forebrain: 20.2%	Human HTHso: 18.1%, Human La: 17.3%, Human GPe: 16.1%	OPALIN, LINC01608, CD22, CDH1, FA2H, LINC01099, LINC01792, MYRF, LINC00639, AC110285.1	1310	0.02729107	2983.637405	0.685196031	0.012288976	273	124	910	3	0.694656489	4
42	COP_42	Committed oligodendrocyte precursor	OLIGO				N/A	Thalamus: 92.7%, Midbrain: 2.3%, Pons: 1.5%	Human VLN: 69.8%, Human ANC: 6.2%, Human LG: 5.0%	CNDP1, LINC01608, GREM1, OPALIN, FA2H, AC110285.1, MYRF, CD22, LINC01792, LINC00906	1170	0.02915232	3293.615385	0.704598083	0.015639372	158	79	933	0	0.797435897	3
43	COP_43	Committed oligodendrocyte precursor	OLIGO		NXPH		N/A	Thalamus: 36.2%, Hypothalamus: 18.0%, Amygdala: 10.3%	Human VLN: 24.5%, Human HTHso: 11.5%, Human La: 6.0%	SLC5A11, FA2H, AL033523.1, CD22, AC012494.1, MOBP, MYRF, SH3TC2-DT, PRR5L, CNDP1	417	0.053554502	5049.023981	0.694249899	0.021558059	71	40	304	2	0.729016787	4
44	Oligo_44	Oligodendrocyte	OLIGO		UBL		Oligo	Thalamus: 20.9%, Pons: 19.2%, Midbrain: 19.1%	Human SN: 10.9%, Human PnRF: 6.9%, Human CbDN: 5.8%	AC004690.2, SLC5A11, ITGA2, AL033523.1, LINC02882, MOG, FOLH1, CARNS1, LINC01949, LRP2	101039	0.035661376	5993.926929	0.675890367	0.002736209	24169	25713	50647	510	0.501261889	4
45	Oligo_45	Oligodendrocyte	OLIGO				Oligo	Cerebral cortex: 20.0%, Basal forebrain: 18.5%, Midbrain: 15.8%	Human GPe: 8.4%, Human SN: 7.4%, Human SN-RN: 4.8%	LINC01608, OPALIN, LINC01792, SLCO1A2, LINC02882, FOLH1, MAL, ASPA, AC108721.2, SH3TC2	109325	0.029193504	5123.711502	0.690635811	0.002855982	26015	28274	54509	527	0.49859593	4
46	Oligo_46	Oligodendrocyte	OLIGO				Oligo	Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%	Human SN-RN: 9.7%, Human SN: 6.7%, Human CbDN: 5.9%	CNDP1, LINC01608, OPALIN, RNASE1, LINC01792, NKX6-2, MAG, PPP1R14A, CD9, TMEM98	60616	0.020621418	3740.694767	0.653366442	0.002339629	15228	22986	22111	291	0.37920681	4
47	Oligo_47	Oligodendrocyte	OLIGO				Oligo	Thalamus: 24.9%, Cerebral cortex: 20.9%, Hippocampus: 13.8%	Human GPe: 5.4%, Human STH: 4.8%, Human MTG: 4.2%	OPALIN, LINC01608, CD9, LINC01792, RNASE1, CNDP1, AC110285.1, PLLP, NKX6-2, MAG	124837	0.011555942	3251.029334	0.650502399	0.004911437	32423	39193	52740	481	0.422470902	4
48	Oligo_48	Oligodendrocyte	OLIGO		UBL		Oligo	Basal forebrain: 47.8%, Thalamus: 42.2%, Hypothalamus: 5.3%	Human GPe: 47.6%, Human CM-Pf: 36.8%, Human MN: 5.3%	AC061958.1, PDE4B-AS1, AL589787.1, LINC01608, MUSK, AC103831.1, AC026746.1, OPALIN, AC093330.1, SPATA22	2190	0.050799098	8773.686301	0.752514784	0.001809885	190	1969	31	0	0.899086758	3
49	Oligo_49	Oligodendrocyte	OLIGO		UBL proSAAS		Oligo	Pons: 30.3%, Midbrain: 20.2%, Medulla: 12.2%	Human PnRF: 10.0%, Human SN: 7.6%, Human CbDN: 7.3%	MBOAT1, AC110809.1, AC008945.2, S100A1, AC114485.1, AC007106.2, LINC01445, LINC01549, AC004690.2, S100B	84282	0.041704645	7580.089912	0.670347523	0.001647304	23784	19762	40386	350	0.479177048	4
50	Oligo_50	Oligodendrocyte	OLIGO				Oligo	Hypothalamus: 90.7%, Thalamus: 3.6%, Basal forebrain: 3.6%	Human MN: 90.7%, Human GPe: 3.6%, Human CM-Pf: 3.5%	PTCSC3, AC012494.2, AL591115.1, AC103831.1, AC093330.1, AL589787.1, AC061958.1, PDE4B-AS1, AC026746.1, AC108721.1	3044	0.038043685	13546.87155	0.824270298	0.000135339	138	2901	5	0	0.953022339	3
51	Bgl_51	Bergmann glia	ASTRO		NUCB		N/A	Cerebellum: 95.8%, Pons: 1.9%, Medulla: 1.9%	Human CBV: 82.3%, Human CBL: 13.3%, Human MoAN: 1.3%	LINC01727, PAX3, AL627316.1, LCAT, AL355306.2, LINC01726, SMTN, AC098656.1, LGR6, AL449403.3	8041	0.015745573	5965.431041	0.70944008	0.000835408	2628	4013	1400	0	0.49906728	3
52	Astro_52	Astrocyte	ASTRO		AGT		Astro	Cerebral cortex: 90.3%, Hypothalamus: 3.9%, Hippocampus: 2.2%	Human MTG: 14.9%, Human STG: 7.9%, Human TH-TL: 6.2%	LINC01727, FGFR3, LINC00499, ZNF98, PRDM16-DT, F3, GJB6, PAPLN, GJA1, OAF	25484	0.009044534	6091.770013	0.664276544	0.00286302	6251	4306	14724	203	0.57777429	4
53	Astro_53	Astrocyte	ASTRO		AGT NUCB		Astro	Hippocampus: 96.3%, Cerebral cortex: 1.5%, Basal forebrain: 1.3%	Human CA4C-DGC: 23.9%, Human DGR-CA4Rpy: 18.3%, Human CA1: 18.1%	LINC00499, GLI3, OAF, ETNPPL, PRDM16-DT, CD38, AC097518.2, FGFR3, OBI1-AS1, AL137139.2	4803	0.010257266	7602.593171	0.705370522	0.001924502	1866	421	2511	5	0.522798251	4
54	Astro_54	Astrocyte	ASTRO		AGT NUCB		Astro	Cerebral cortex: 38.8%, Hippocampus: 33.1%, Amygdala: 22.1%	Human A35r: 18.3%, Human CA1: 15.4%, Human Sub: 12.0%	ETNPPL, LINC00499, GLI3, OBI1-AS1, FGFR3, PAPLN, AC097518.2, GJA1, AL160272.2, RANBP3L	24168	0.012058014	8157.08623	0.717095968	0.001502852	3037	2500	18529	102	0.766674942	4
55	Astro_55	Astrocyte	ASTRO		AGT NUCB PENK UBL proSAAS		Astro	Basal forebrain: 82.4%, Thalamus: 7.0%, Hypothalamus: 5.0%	Human Pu: 19.1%, Human CaB: 17.0%, Human SI: 15.7%	ETNPPL, AC097518.2, PRDM16-DT, AL445259.1, CD38, OBI1-AS1, FGFR3, F3, APOC1, EFEMP1	3576	0.014767626	8860.58613	0.706483509	0.003367572	943	356	2274	3	0.63590604	4
56	Astro_56	Astrocyte	ASTRO		AGT		Astro	Hypothalamus: 30.0%, Thalamus: 21.5%, Amygdala: 14.3%	Human HTHso: 21.4%, Human VLN: 10.7%, Human HTHtub: 7.1%	TNC, GFAP, OBI1-AS1, FGFR3, GJA1, AC012405.1, EFEMP1, AQP4, SLC14A1, ETNPPL	1672	0.031610725	4833.809809	0.699126017	0.009679083	251	214	1201	6	0.718301435	4
57	Astro_57	Astrocyte	ASTRO		AGT		Astro	Hippocampus: 66.8%, Basal forebrain: 25.3%, Cerebral cortex: 4.0%	Human DGR-CA4Rpy: 26.6%, Human SEP: 21.1%, Human DGU-CA4Upy: 19.9%	CD38, OBI1-AS1, FGFR3, AL627316.1, AC012405.1, AL137139.2, TNC, LINC02649, GLI3, SLC14A1	6925	0.019571141	6732.129531	0.750016096	0.00288358	3166	565	3178	16	0.458916968	4
58	Astro_58	Astrocyte	ASTRO		AGT UBL proSAAS		Astro	Cerebral cortex: 57.1%, Hippocampus: 37.8%, Amygdala: 3.0%	Human CA4C-DGC: 9.8%, Human TH-TL: 5.9%, Human DGR-CA4Rpy: 5.6%	ID3, AQP4, GFAP, FGFR3, MLC1, F3, AGT, MT1G, AL137139.2, EMX2	8021	0.014537598	6046.717866	0.651156757	0.00240451	1830	1577	4584	30	0.571499813	4
59	Astro_59	Astrocyte	ASTRO		ADM AGT		Astro	Pons: 36.2%, Cerebellum: 36.1%, Medulla: 10.9%	Human CbDN: 36.1%, Human PnEN: 13.6%, Human PnRF: 13.0%	LGR6, SDC4, ITPRID1, FGFR3, SLC14A1, SLC7A10, AC090809.1, GJB6, GFAP, PYGM	4062	0.024835917	3590.67676	0.659929447	0.003187609	1484	902	1674	2	0.41211226	4
60	Astro_60	Astrocyte	ASTRO		AGT proSAAS		Astro	Thalamus: 37.1%, Midbrain: 31.3%, Pons: 16.8%	Human SN-RN: 10.3%, Human SN: 9.3%, Human Pul: 8.4%	TNC, SLC14A1, GJA1, SDC4, OBI1-AS1, HPSE2, RASL12, AC012405.1, EFEMP1, EDNRB	25366	0.016459484	4076.21722	0.663688726	0.00199342	10056	5599	9708	3	0.396436174	4
61	Astro_61	Astrocyte	ASTRO		AGT proSAAS		Astro	Hippocampus: 47.7%, Cerebral cortex: 21.1%, Basal forebrain: 19.2%	Human CA1: 14.3%, Human Cla: 8.9%, Human CA4C-DGC: 6.7%	AC012405.1, TNC, GFAP, ID3, AC073941.1, AL627316.1, AQP4, CD38, CD44, ANGPTL4	13621	0.015317376	5270.155128	0.662391262	0.002221025	2884	3003	7636	98	0.560604948	4
62	Astro_62	Astrocyte	ASTRO		ADM AGT proSAAS		Astro	Basal forebrain: 40.2%, Cerebellum: 19.3%, Midbrain: 16.2%	Human GPi: 30.1%, Human CbDN: 18.1%, Human SN: 10.1%	TNC, ANGPTL4, AC012405.1, GFAP, CPAMD8, AC073941.1, SLC14A1, GJA1, AL627316.1, CD44	24821	0.034812902	3797.311873	0.648652321	0.001442769	10439	5949	8416	17	0.42057129	4
