accession_id,PCL_id,label,Class auto-annotation,cl_parent_1,cl_parent_2,cl_parent_3,cl_parent_4,definition,definition_ref,brain_region,brain_region_curie,brain_region_evidence,markers,marker_fbeta_score
CS202210140_14,PCL:0051014,VendPLVAP_13 brain vascular cell (Hsap),CHRP ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of PLVAP (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon. The reference data for this cell type is CS202210140_14.",DOI:10.1101/2022.10.12.511898,basal forebrain,HBA:4300,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 74.0%.,PLVAP (Hsap),0.6698564593301435
CS202210140_15,PCL:0051015,VendAC_14 brain vascular cell (Hsap),ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SEMA3G (Hsap), HERC2P3 (Hsap). The soma of these cells can be found in the hippocampal formation, cerebral cortex, thalamus. The reference data for this cell type is CS202210140_15.",DOI:10.1101/2022.10.12.511898,"hippocampal formation, thalamus","HBA:4249, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 23.8%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 10.3%.,"SEMA3G (Hsap), HERC2P3 (Hsap)",0.6017505470459519
CS202210140_16,PCL:0051016,VendC_15 brain vascular cell (Hsap),ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MECOM (Hsap), ABCG2 (Hsap), HMCN1 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation, thalamus. The reference data for this cell type is CS202210140_16.",DOI:10.1101/2022.10.12.511898,"hippocampal formation, thalamus","HBA:4249, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 15.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 15.3%.,"HMCN1 (Hsap), ABCG2 (Hsap), MECOM (Hsap)",0.5370905587668593
CS202210140_17,PCL:0051017,VendVC_16 brain vascular cell (Hsap),ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MECOM (Hsap), TRPM6 (Hsap). The soma of these cells can be found in the cerebral cortex, hippocampal formation. The reference data for this cell type is CS202210140_17.",DOI:10.1101/2022.10.12.511898,hippocampal formation,HBA:4249,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 17.8%.,"TRPM6 (Hsap), MECOM (Hsap)",0.5733618233618234
CS202210140_18,PCL:0051018,VendV_17 brain vascular cell (Hsap),ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of IL1R1 (Hsap), SRGN (Hsap). The soma of these cells can be found in the hypothalamus, myelencephalon, pons. The reference data for this cell type is CS202210140_18.",DOI:10.1101/2022.10.12.511898,"hypothalamus, pons","HBA:4540, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hypothalamus: 26.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 15.8%.,"SRGN (Hsap), IL1R1 (Hsap)",0.5928853754940712
CS202210140_19,PCL:0051019,VendA_18 brain vascular cell (Hsap),ENDO,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MECOM (Hsap), MGP (Hsap). The soma of these cells can be found in the cerebral cortex, myelencephalon, thalamus. The reference data for this cell type is CS202210140_19.",DOI:10.1101/2022.10.12.511898,thalamus,HBA:4392,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 14.6%.,"MECOM (Hsap), MGP (Hsap)",0.690909090909091
CS202210140_20,PCL:0051020,Vsmc_19 brain vascular cell (Hsap),ENDO VSMC,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of MECOM (Hsap), ACTA2 (Hsap). The soma of these cells can be found in the thalamus, mesencephalon, myelencephalon. The reference data for this cell type is CS202210140_20.",DOI:10.1101/2022.10.12.511898,"mesencephalon, thalamus","HBA:9001, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Midbrain: 12.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 28.4%.,"ACTA2 (Hsap), MECOM (Hsap)",0.42461005199306756
CS202210140_21,PCL:0051021,Vsmc_20 brain vascular cell (Hsap),VSMC,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of ACTA2 (Hsap), TAGLN (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, myelencephalon. The reference data for this cell type is CS202210140_21.",DOI:10.1101/2022.10.12.511898,thalamus,HBA:4392,Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 21.8%.,"TAGLN (Hsap), ACTA2 (Hsap)",0.7009925558312655
CS202210140_22,PCL:0051022,Per_21 brain vascular cell (Hsap),PER,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of RERGL (Hsap), NDUFA4L2 (Hsap). The soma of these cells can be found in the thalamus, pons. The reference data for this cell type is CS202210140_22.",DOI:10.1101/2022.10.12.511898,"thalamus, pons","HBA:4392, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 28.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 17.9%.,"RERGL (Hsap), NDUFA4L2 (Hsap)",0.48640167364016723
CS202210140_23,PCL:0051023,Per_22 brain vascular cell (Hsap),PER,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SLC19A1 (Hsap), CARMN (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_23.",DOI:10.1101/2022.10.12.511898,"basal forebrain, thalamus","HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 10.2%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 34.2%.,"SLC19A1 (Hsap), CARMN (Hsap)",0.6019417475728155
CS202210140_24,PCL:0051024,Per_23 brain vascular cell (Hsap),,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_4023072"";""brain vascular cell"")",,,"A brain vascular cell of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SLC6A13 (Hsap), ASPN (Hsap), SLC6A12 (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, basal forebrain. The reference data for this cell type is CS202210140_24.",DOI:10.1101/2022.10.12.511898,"basal forebrain, thalamus","HBA:4300, HBA:4392",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 10.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 48.8%.,"SLC6A12 (Hsap), SLC6A13 (Hsap), ASPN (Hsap)",0.22058823529411764
CS202210140_25,PCL:0051025,Fbl_24 fibroblast (Hsap),FIB,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000057"";""fibroblast"")",,,"A fibroblast of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of BMP5 (Hsap), C7 (Hsap). The soma of these cells can be found in the basal forebrain, myelencephalon, hippocampal formation. The reference data for this cell type is CS202210140_25.",DOI:10.1101/2022.10.12.511898,"basal forebrain, hippocampal formation","HBA:4300, HBA:4249",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 38.0%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Hippocampus: 25.1%.,"BMP5 (Hsap), C7 (Hsap)",0.35279805352798044
CS202210140_26,PCL:0051026,Fbl_25 fibroblast (Hsap),FIB,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000057"";""fibroblast"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A fibroblast of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of TBX18 (Hsap), LTBP2 (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, pons. The reference data for this cell type is CS202210140_26.",DOI:10.1101/2022.10.12.511898,"thalamus, pons","HBA:4392, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 22.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 15.0%.,"TBX18 (Hsap), LTBP2 (Hsap)",0.3941441441441441
CS202210140_27,PCL:0051027,Fbl_26 fibroblast (Hsap),FIB,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000057"";""fibroblast"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")",,,"A fibroblast of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of SLC6A20 (Hsap), COL15A1 (Hsap). The soma of these cells can be found in the thalamus, basal forebrain, pons. The reference data for this cell type is CS202210140_27.",DOI:10.1101/2022.10.12.511898,"pons, thalamus, basal forebrain","HBA:9131, HBA:4392, HBA:4300",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 13.1%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 20.7%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Basal forebrain: 15.4%.,"SLC6A20 (Hsap), COL15A1 (Hsap)",0.38175675675675663
CS202210140_28,PCL:0051028,Fbl_27 fibroblast (Hsap),FIB,"=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0002319"";""neural cell"")","=HYPERLINK(""https://www.ebi.ac.uk/ols4/ontologies/cl/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FCL_0000057"";""fibroblast"")",,,"A fibroblast of the Homo sapiens brain. These cells can be distinguished from other cells in the brain by their selective expression of FMO2 (Hsap), ABCA8 (Hsap), LINC02147 (Hsap). The soma of these cells can be found in the thalamus, cerebral cortex, pons. The reference data for this cell type is CS202210140_28.",DOI:10.1101/2022.10.12.511898,"thalamus, pons","HBA:4392, HBA:9131",Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Thalamus: 34.3%. Location assignment based on origin of cells in brain dissections with a cut-off of 10% to account for dissection errors Pons: 13.3%.,"FMO2 (Hsap), ABCA8 (Hsap), LINC02147 (Hsap)",0.3890423572744015
